============================================================
Biblioteca : basepropr_deepface
Inicio     : 2026-06-29 00:38:11
============================================================
[2026-06-29 00:38:11] INFO: Dataset=BasePropr | Pares=4092
[2026-06-29 00:38:15] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_baixa_45_30cm.jpeg, score=0.0835, label=1, decision=MATCH
[2026-06-29 00:38:16] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_baixa_frontal_1m.jpeg, score=0.3446, label=1, decision=MATCH
[2026-06-29 00:38:17] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_baixa_frontal_30cm.jpeg, score=0.3894, label=1, decision=MATCH
[2026-06-29 00:38:17] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_boa_45_1m..jpeg, score=0.3575, label=1, decision=MATCH
[2026-06-29 00:38:18] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_boa_45_30cm.jpeg, score=0.3949, label=1, decision=MATCH
[2026-06-29 00:38:19] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_boa_frontal_1m..jpeg, score=0.4567, label=1, decision=MATCH
[2026-06-29 00:38:20] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_boa_frontal_30cm..jpeg, score=0.4835, label=1, decision=MATCH
[2026-06-29 00:38:21] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_01.jpeg, score=0.5199, label=1, decision=NO_MATCH
[2026-06-29 00:38:21] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_02.jpeg, score=0.5307, label=1, decision=NO_MATCH
[2026-06-29 00:38:22] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_03.jpeg, score=0.5000, label=1, decision=MATCH
[2026-06-29 00:38:23] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_04.jpeg, score=0.5824, label=1, decision=NO_MATCH
[2026-06-29 00:38:23] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_05.jpeg, score=0.6151, label=1, decision=NO_MATCH
[2026-06-29 00:38:24] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_06.jpeg, score=0.4877, label=1, decision=MATCH
[2026-06-29 00:38:25] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_07.jpeg, score=0.4913, label=1, decision=MATCH
[2026-06-29 00:38:26] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_08.jpeg, score=0.4525, label=1, decision=MATCH
[2026-06-29 00:38:26] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.3752, label=1, decision=MATCH
[2026-06-29 00:38:27] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.3892, label=1, decision=MATCH
[2026-06-29 00:38:28] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.4746, label=1, decision=MATCH
[2026-06-29 00:38:28] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.4452, label=1, decision=MATCH
[2026-06-29 00:38:29] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_baixa_frontal_1m.jpeg, score=0.3713, label=1, decision=MATCH
[2026-06-29 00:38:30] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_baixa_frontal_30cm.jpeg, score=0.3524, label=1, decision=MATCH
[2026-06-29 00:38:31] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_boa_45_1m..jpeg, score=0.3489, label=1, decision=MATCH
[2026-06-29 00:38:31] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_boa_45_30cm.jpeg, score=0.3644, label=1, decision=MATCH
[2026-06-29 00:38:32] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_boa_frontal_1m..jpeg, score=0.4307, label=1, decision=MATCH
[2026-06-29 00:38:33] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_boa_frontal_30cm..jpeg, score=0.4557, label=1, decision=MATCH
[2026-06-29 00:38:34] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_extra_01.jpeg, score=0.5024, label=1, decision=NO_MATCH
[2026-06-29 00:38:35] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_extra_02.jpeg, score=0.4686, label=1, decision=MATCH
[2026-06-29 00:38:36] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_extra_03.jpeg, score=0.4482, label=1, decision=MATCH
[2026-06-29 00:38:37] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_extra_04.jpeg, score=0.5536, label=1, decision=NO_MATCH
[2026-06-29 00:38:37] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_extra_05.jpeg, score=0.5489, label=1, decision=NO_MATCH
[2026-06-29 00:38:38] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_extra_06.jpeg, score=0.4611, label=1, decision=MATCH
[2026-06-29 00:38:39] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_extra_07.jpeg, score=0.4907, label=1, decision=MATCH
[2026-06-29 00:38:39] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_extra_08.jpeg, score=0.3987, label=1, decision=MATCH
[2026-06-29 00:38:40] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.3775, label=1, decision=MATCH
[2026-06-29 00:38:41] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.3697, label=1, decision=MATCH
[2026-06-29 00:38:42] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.4532, label=1, decision=MATCH
[2026-06-29 00:38:43] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.4095, label=1, decision=MATCH
[2026-06-29 00:38:43] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_baixa_frontal_30cm.jpeg, score=0.1804, label=1, decision=MATCH
[2026-06-29 00:38:44] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_boa_45_1m..jpeg, score=0.4585, label=1, decision=MATCH
[2026-06-29 00:38:45] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_boa_45_30cm.jpeg, score=0.5318, label=1, decision=NO_MATCH
[2026-06-29 00:38:45] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_boa_frontal_1m..jpeg, score=0.2631, label=1, decision=MATCH
[2026-06-29 00:38:46] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_boa_frontal_30cm..jpeg, score=0.2634, label=1, decision=MATCH
[2026-06-29 00:38:47] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_extra_01.jpeg, score=0.3626, label=1, decision=MATCH
[2026-06-29 00:38:48] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_extra_02.jpeg, score=0.4572, label=1, decision=MATCH
[2026-06-29 00:38:49] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_extra_03.jpeg, score=0.4002, label=1, decision=MATCH
[2026-06-29 00:38:49] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_extra_04.jpeg, score=0.4644, label=1, decision=MATCH
[2026-06-29 00:38:50] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_extra_05.jpeg, score=0.3814, label=1, decision=MATCH
[2026-06-29 00:38:51] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_extra_06.jpeg, score=0.3208, label=1, decision=MATCH
[2026-06-29 00:38:51] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_extra_07.jpeg, score=0.2922, label=1, decision=MATCH
[2026-06-29 00:38:52] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_extra_08.jpeg, score=0.3947, label=1, decision=MATCH
[2026-06-29 00:38:53] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.4407, label=1, decision=MATCH
[2026-06-29 00:38:53] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.5042, label=1, decision=NO_MATCH
[2026-06-29 00:38:54] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.1889, label=1, decision=MATCH
[2026-06-29 00:38:55] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.2798, label=1, decision=MATCH
[2026-06-29 00:38:56] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_boa_45_1m..jpeg, score=0.4862, label=1, decision=MATCH
[2026-06-29 00:38:57] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_boa_45_30cm.jpeg, score=0.5285, label=1, decision=NO_MATCH
[2026-06-29 00:38:58] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_boa_frontal_1m..jpeg, score=0.2703, label=1, decision=MATCH
[2026-06-29 00:38:59] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_boa_frontal_30cm..jpeg, score=0.1823, label=1, decision=MATCH
