============================================================
Biblioteca : basepropr_dlib
Inicio     : 2026-06-28 17:13:22
============================================================
[2026-06-28 17:13:22] INFO: Dataset=BasePropr | Pares=4092
[2026-06-28 17:13:33] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_baixa_45_30cm.jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:13:44] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_baixa_frontal_1m.jpeg, score=0.4029, label=1, decision=MATCH
[2026-06-28 17:13:58] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_baixa_frontal_30cm.jpeg, score=0.4437, label=1, decision=MATCH
[2026-06-28 17:14:09] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_boa_45_1m..jpeg, score=0.3882, label=1, decision=MATCH
[2026-06-28 17:14:23] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_boa_45_30cm.jpeg, score=0.4157, label=1, decision=MATCH
[2026-06-28 17:14:34] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_boa_frontal_1m..jpeg, score=0.4155, label=1, decision=MATCH
[2026-06-28 17:14:45] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_boa_frontal_30cm..jpeg, score=0.4430, label=1, decision=MATCH
[2026-06-28 17:15:00] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_01.jpeg, score=0.4439, label=1, decision=MATCH
[2026-06-28 17:15:11] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_02.jpeg, score=0.4046, label=1, decision=MATCH
[2026-06-28 17:15:22] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_03.jpeg, score=0.4803, label=1, decision=MATCH
[2026-06-28 17:15:36] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_04.jpeg, score=0.4789, label=1, decision=MATCH
[2026-06-28 17:15:47] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_05.jpeg, score=0.4106, label=1, decision=MATCH
[2026-06-28 17:15:58] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_06.jpeg, score=0.4141, label=1, decision=MATCH
[2026-06-28 17:16:11] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_07.jpeg, score=0.4089, label=1, decision=MATCH
[2026-06-28 17:16:22] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_08.jpeg, score=0.4468, label=1, decision=MATCH
[2026-06-28 17:16:33] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.4404, label=1, decision=MATCH
[2026-06-28 17:16:47] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.4462, label=1, decision=MATCH
[2026-06-28 17:16:58] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.4194, label=1, decision=MATCH
[2026-06-28 17:17:09] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.4555, label=1, decision=MATCH
[2026-06-28 17:17:23] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_baixa_frontal_1m.jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:17:34] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_baixa_frontal_30cm.jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:17:45] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_boa_45_1m..jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:17:59] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_boa_45_30cm.jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:18:10] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_boa_frontal_1m..jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:18:21] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_boa_frontal_30cm..jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:18:34] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_extra_01.jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:18:45] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_extra_02.jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:18:56] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_extra_03.jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:19:10] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_extra_04.jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:19:21] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_extra_05.jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:19:32] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_extra_06.jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:19:46] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_extra_07.jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:19:57] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_extra_08.jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:20:08] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:20:21] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:20:32] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:20:43] PAIR: img1=alessandra_baixa_45_30cm.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=nan, label=1, decision=SKIPPED
[2026-06-28 17:20:57] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_baixa_frontal_30cm.jpeg, score=0.2264, label=1, decision=MATCH
[2026-06-28 17:21:08] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_boa_45_1m..jpeg, score=0.4316, label=1, decision=MATCH
[2026-06-28 17:21:19] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_boa_45_30cm.jpeg, score=0.4563, label=1, decision=MATCH
[2026-06-28 17:21:33] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_boa_frontal_1m..jpeg, score=0.3211, label=1, decision=MATCH
[2026-06-28 17:21:44] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_boa_frontal_30cm..jpeg, score=0.3017, label=1, decision=MATCH
[2026-06-28 17:21:55] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_extra_01.jpeg, score=0.3299, label=1, decision=MATCH
[2026-06-28 17:22:08] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_extra_02.jpeg, score=0.3707, label=1, decision=MATCH
[2026-06-28 17:22:19] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_extra_03.jpeg, score=0.3777, label=1, decision=MATCH
[2026-06-28 17:22:30] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_extra_04.jpeg, score=0.4079, label=1, decision=MATCH
[2026-06-28 17:22:44] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_extra_05.jpeg, score=0.4140, label=1, decision=MATCH
[2026-06-28 17:22:55] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_extra_06.jpeg, score=0.3027, label=1, decision=MATCH
[2026-06-28 17:23:06] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_extra_07.jpeg, score=0.2960, label=1, decision=MATCH
[2026-06-28 17:23:20] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_extra_08.jpeg, score=0.3553, label=1, decision=MATCH
[2026-06-28 17:23:31] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.4539, label=1, decision=MATCH
[2026-06-28 17:23:42] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_moderada_45_30cm.jpeg, score=0.4935, label=1, decision=MATCH
[2026-06-28 17:23:56] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_moderada_frontal_1m.jpeg, score=0.2830, label=1, decision=MATCH
[2026-06-28 17:24:07] PAIR: img1=alessandra_baixa_frontal_1m.jpeg, img2=alessandra_moderada_frontal_30cm.jpeg, score=0.3158, label=1, decision=MATCH
[2026-06-28 17:24:18] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_boa_45_1m..jpeg, score=0.4145, label=1, decision=MATCH
[2026-06-28 17:24:32] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_boa_45_30cm.jpeg, score=0.4378, label=1, decision=MATCH
[2026-06-28 17:24:43] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_boa_frontal_1m..jpeg, score=0.3318, label=1, decision=MATCH
[2026-06-28 17:24:56] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_boa_frontal_30cm..jpeg, score=0.2582, label=1, decision=MATCH
[2026-06-28 17:25:07] PAIR: img1=alessandra_baixa_frontal_30cm.jpeg, img2=alessandra_extra_01.jpeg, score=0.2744, label=1, decision=MATCH
