============================================================
Biblioteca : basepropr_opencv
Inicio     : 2026-06-28 16:18:41
============================================================
[2026-06-28 16:18:41] INFO: Dataset=BasePropr | Pares=4092
[2026-06-28 16:18:43] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_baixa_45_30cm.jpeg, score=0.1670, label=1, decision=MATCH
[2026-06-28 16:18:44] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_baixa_frontal_1m.jpeg, score=0.2036, label=1, decision=MATCH
[2026-06-28 16:18:45] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_baixa_frontal_30cm.jpeg, score=0.1765, label=1, decision=MATCH
[2026-06-28 16:18:46] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_boa_45_1m..jpeg, score=0.2364, label=1, decision=MATCH
[2026-06-28 16:18:47] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_boa_45_30cm.jpeg, score=0.2280, label=1, decision=MATCH
[2026-06-28 16:18:47] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_boa_frontal_1m..jpeg, score=0.1689, label=1, decision=MATCH
[2026-06-28 16:18:48] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_boa_frontal_30cm..jpeg, score=0.1697, label=1, decision=MATCH
[2026-06-28 16:18:50] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_01.jpeg, score=0.1394, label=1, decision=MATCH
[2026-06-28 16:18:50] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_02.jpeg, score=0.1675, label=1, decision=MATCH
[2026-06-28 16:18:52] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_03.jpeg, score=0.1630, label=1, decision=MATCH
[2026-06-28 16:18:52] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_04.jpeg, score=0.2323, label=1, decision=MATCH
[2026-06-28 16:18:53] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_05.jpeg, score=0.1792, label=1, decision=MATCH
[2026-06-28 16:18:54] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_06.jpeg, score=0.1674, label=1, decision=MATCH
[2026-06-28 16:18:55] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_07.jpeg, score=0.1500, label=1, decision=MATCH
[2026-06-28 16:18:56] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_extra_08.jpeg, score=0.1783, label=1, decision=MATCH
[2026-06-28 16:18:57] PAIR: img1=alessandra_baixa_45_1m.jpeg, img2=alessandra_moderada_45_1m.jpeg, score=0.1174, label=1, decision=MATCH
