============================================================
Biblioteca : lfw_deepface
Inicio     : 2026-06-28 16:02:38
============================================================
[2026-06-28 16:02:38] INFO: Dataset=LFW | Pares=4000
[2026-06-28 16:02:46] PAIR: img1=Richard_Myers_0004.jpg, img2=Richard_Myers_0001.jpg, score=0.3312, label=1, decision=MATCH
[2026-06-28 16:02:46] PAIR: img1=Richard_Myers_0004.jpg, img2=Richard_Myers_0009.jpg, score=0.4079, label=1, decision=MATCH
[2026-06-28 16:02:46] PAIR: img1=Richard_Myers_0004.jpg, img2=Richard_Myers_0018.jpg, score=0.2990, label=1, decision=MATCH
[2026-06-28 16:02:46] PAIR: img1=Richard_Myers_0004.jpg, img2=Richard_Myers_0015.jpg, score=0.3228, label=1, decision=MATCH
[2026-06-28 16:02:49] PAIR: img1=Richard_Myers_0001.jpg, img2=Richard_Myers_0009.jpg, score=0.4111, label=1, decision=MATCH
[2026-06-28 16:02:49] PAIR: img1=Richard_Myers_0001.jpg, img2=Richard_Myers_0018.jpg, score=0.3479, label=1, decision=MATCH
[2026-06-28 16:02:50] PAIR: img1=Richard_Myers_0001.jpg, img2=Richard_Myers_0015.jpg, score=0.2706, label=1, decision=MATCH
[2026-06-28 16:02:50] PAIR: img1=Richard_Myers_0009.jpg, img2=Richard_Myers_0018.jpg, score=0.3751, label=1, decision=MATCH
[2026-06-28 16:02:50] PAIR: img1=Richard_Myers_0009.jpg, img2=Richard_Myers_0015.jpg, score=0.3366, label=1, decision=MATCH
[2026-06-28 16:02:50] PAIR: img1=Richard_Myers_0018.jpg, img2=Richard_Myers_0015.jpg, score=0.3951, label=1, decision=MATCH
[2026-06-28 16:02:50] PAIR: img1=Carlos_Moya_0005.jpg, img2=Carlos_Moya_0004.jpg, score=0.5074, label=1, decision=NO_MATCH
[2026-06-28 16:02:51] PAIR: img1=Carlos_Moya_0005.jpg, img2=Carlos_Moya_0003.jpg, score=0.2891, label=1, decision=MATCH
[2026-06-28 16:02:51] PAIR: img1=Carlos_Moya_0005.jpg, img2=Carlos_Moya_0014.jpg, score=0.5640, label=1, decision=NO_MATCH
[2026-06-28 16:02:51] PAIR: img1=Carlos_Moya_0005.jpg, img2=Carlos_Moya_0001.jpg, score=0.4923, label=1, decision=MATCH
[2026-06-28 16:02:51] PAIR: img1=Carlos_Moya_0004.jpg, img2=Carlos_Moya_0003.jpg, score=0.4217, label=1, decision=MATCH
[2026-06-28 16:02:51] PAIR: img1=Carlos_Moya_0004.jpg, img2=Carlos_Moya_0014.jpg, score=0.3939, label=1, decision=MATCH
[2026-06-28 16:02:52] PAIR: img1=Carlos_Moya_0004.jpg, img2=Carlos_Moya_0001.jpg, score=0.4097, label=1, decision=MATCH
[2026-06-28 16:02:52] PAIR: img1=Carlos_Moya_0003.jpg, img2=Carlos_Moya_0014.jpg, score=0.5763, label=1, decision=NO_MATCH
[2026-06-28 16:02:52] PAIR: img1=Carlos_Moya_0003.jpg, img2=Carlos_Moya_0001.jpg, score=0.4991, label=1, decision=MATCH
[2026-06-28 16:02:52] PAIR: img1=Carlos_Moya_0014.jpg, img2=Carlos_Moya_0001.jpg, score=0.4637, label=1, decision=MATCH
[2026-06-28 16:02:52] PAIR: img1=Alvaro_Uribe_0002.jpg, img2=Alvaro_Uribe_0006.jpg, score=0.6613, label=1, decision=NO_MATCH
[2026-06-28 16:02:53] PAIR: img1=Alvaro_Uribe_0002.jpg, img2=Alvaro_Uribe_0014.jpg, score=0.6671, label=1, decision=NO_MATCH
[2026-06-28 16:02:53] PAIR: img1=Alvaro_Uribe_0002.jpg, img2=Alvaro_Uribe_0015.jpg, score=0.5837, label=1, decision=NO_MATCH
[2026-06-28 16:02:54] PAIR: img1=Alvaro_Uribe_0002.jpg, img2=Alvaro_Uribe_0033.jpg, score=0.6737, label=1, decision=NO_MATCH
