============================================================
Biblioteca : lfw_dlib
Inicio     : 2026-06-28 15:47:38
============================================================
[2026-06-28 15:47:38] INFO: Dataset=LFW | Pares=4000
[2026-06-28 15:47:39] PAIR: img1=Richard_Myers_0004.jpg, img2=Richard_Myers_0001.jpg, score=0.4075, label=1, decision=MATCH
[2026-06-28 15:47:39] PAIR: img1=Richard_Myers_0004.jpg, img2=Richard_Myers_0009.jpg, score=0.3454, label=1, decision=MATCH
[2026-06-28 15:47:39] PAIR: img1=Richard_Myers_0004.jpg, img2=Richard_Myers_0018.jpg, score=0.3898, label=1, decision=MATCH
[2026-06-28 15:47:39] PAIR: img1=Richard_Myers_0004.jpg, img2=Richard_Myers_0015.jpg, score=0.3899, label=1, decision=MATCH
[2026-06-28 15:47:40] PAIR: img1=Richard_Myers_0001.jpg, img2=Richard_Myers_0009.jpg, score=0.4520, label=1, decision=MATCH
[2026-06-28 15:47:40] PAIR: img1=Richard_Myers_0001.jpg, img2=Richard_Myers_0018.jpg, score=0.4333, label=1, decision=MATCH
[2026-06-28 15:47:40] PAIR: img1=Richard_Myers_0001.jpg, img2=Richard_Myers_0015.jpg, score=0.4566, label=1, decision=MATCH
[2026-06-28 15:47:41] PAIR: img1=Richard_Myers_0009.jpg, img2=Richard_Myers_0018.jpg, score=0.3690, label=1, decision=MATCH
[2026-06-28 15:47:42] PAIR: img1=Richard_Myers_0009.jpg, img2=Richard_Myers_0015.jpg, score=0.3647, label=1, decision=MATCH
[2026-06-28 15:47:43] PAIR: img1=Richard_Myers_0018.jpg, img2=Richard_Myers_0015.jpg, score=0.4876, label=1, decision=MATCH
[2026-06-28 15:47:44] PAIR: img1=Carlos_Moya_0005.jpg, img2=Carlos_Moya_0004.jpg, score=0.4167, label=1, decision=MATCH
[2026-06-28 15:47:45] PAIR: img1=Carlos_Moya_0005.jpg, img2=Carlos_Moya_0003.jpg, score=0.3600, label=1, decision=MATCH
[2026-06-28 15:47:46] PAIR: img1=Carlos_Moya_0005.jpg, img2=Carlos_Moya_0014.jpg, score=0.4549, label=1, decision=MATCH
[2026-06-28 15:47:47] PAIR: img1=Carlos_Moya_0005.jpg, img2=Carlos_Moya_0001.jpg, score=0.3592, label=1, decision=MATCH
[2026-06-28 15:47:48] PAIR: img1=Carlos_Moya_0004.jpg, img2=Carlos_Moya_0003.jpg, score=0.4049, label=1, decision=MATCH
[2026-06-28 15:47:50] PAIR: img1=Carlos_Moya_0004.jpg, img2=Carlos_Moya_0014.jpg, score=0.4622, label=1, decision=MATCH
[2026-06-28 15:47:51] PAIR: img1=Carlos_Moya_0004.jpg, img2=Carlos_Moya_0001.jpg, score=0.4070, label=1, decision=MATCH
[2026-06-28 15:47:56] PAIR: img1=Carlos_Moya_0003.jpg, img2=Carlos_Moya_0014.jpg, score=0.4446, label=1, decision=MATCH
