============================================================
Biblioteca : lfw_opencv
Inicio     : 2026-06-28 15:46:26
============================================================
[2026-06-28 15:46:26] INFO: Dataset=LFW | Pares=4000
[2026-06-28 15:46:26] PAIR: img1=Richard_Myers_0004.jpg, img2=Richard_Myers_0001.jpg, score=0.1640, label=1, decision=MATCH
[2026-06-28 15:46:26] PAIR: img1=Richard_Myers_0004.jpg, img2=Richard_Myers_0009.jpg, score=0.1404, label=1, decision=MATCH
[2026-06-28 15:46:26] PAIR: img1=Richard_Myers_0004.jpg, img2=Richard_Myers_0018.jpg, score=0.0870, label=1, decision=MATCH
[2026-06-28 15:46:26] PAIR: img1=Richard_Myers_0004.jpg, img2=Richard_Myers_0015.jpg, score=0.1642, label=1, decision=MATCH
[2026-06-28 15:46:26] PAIR: img1=Richard_Myers_0001.jpg, img2=Richard_Myers_0009.jpg, score=0.2070, label=1, decision=MATCH
[2026-06-28 15:46:26] PAIR: img1=Richard_Myers_0001.jpg, img2=Richard_Myers_0018.jpg, score=0.1710, label=1, decision=MATCH
[2026-06-28 15:46:26] PAIR: img1=Richard_Myers_0001.jpg, img2=Richard_Myers_0015.jpg, score=0.1542, label=1, decision=MATCH
[2026-06-28 15:46:26] PAIR: img1=Richard_Myers_0009.jpg, img2=Richard_Myers_0018.jpg, score=0.1028, label=1, decision=MATCH
[2026-06-28 15:46:26] PAIR: img1=Richard_Myers_0009.jpg, img2=Richard_Myers_0015.jpg, score=0.1430, label=1, decision=MATCH
[2026-06-28 15:46:26] PAIR: img1=Richard_Myers_0018.jpg, img2=Richard_Myers_0015.jpg, score=0.1602, label=1, decision=MATCH
[2026-06-28 15:46:26] PAIR: img1=Carlos_Moya_0005.jpg, img2=Carlos_Moya_0004.jpg, score=0.2033, label=1, decision=MATCH
[2026-06-28 15:46:26] PAIR: img1=Carlos_Moya_0005.jpg, img2=Carlos_Moya_0003.jpg, score=0.1691, label=1, decision=MATCH
[2026-06-28 15:46:26] PAIR: img1=Carlos_Moya_0005.jpg, img2=Carlos_Moya_0014.jpg, score=0.1711, label=1, decision=MATCH
